id,name,distance,mass,radius
285,WISE 0305+3954,75,?,?
286,WISE 0307+2904,82.8,?,?
287,WISE 0313+7807,28,?,?
288,WISE 0316+4307,106.3,?,?
289,WISE 0321-7347,84.8,?,?
290,WISE 0323-6025,45.3,?,?
291,WISE 0325-3854,51.2,?,?
292,WISE 0325+0831,36.5,?,?
293,WISE 0333-5856,54.8,?,?
294,WISE 0335+4310,45.7,?,?
295,WISE 0336-0143,55.4,?,?
296,WISE 0350-5658,17.7,?,?
297,WISE 0359-5401,19.2,?,?
298,WISE 0410+1502,20,6,1.17
299,WISE 0410+1411,85.8,?,?
300,WISE 0413-4750,66.2,?,?
301,WISE 0448-1935,69.8,?,?
302,WISE 0458+6434A,35.9,15,4.2
303,WISE 0458+6434B,35.9,10,3.8
304,WISE 0500-1223,47,?,?
305,WISE 0513+0608,44.7,?,?
306,WISE 0525+6739,98.2,?,?
307,WISE 0528-3308,57.4,?,?
308,WISE 0535-7500,47,?,?
309,WISE 0539-1034,84.8,?,?
310,WISE 0542-1628,50.6,?,?
311,WISE 0607+2429,25.4,?,?
312,WISE 0611-0410,57.7,?,?
313,WISE 0612-4920,95.2,?,?
314,WISE 0612-3036,64.9,?,?
315,WISE 0614+3912,50.2,?,?
316,WISE 0614+0951,51.5,?,?
317,WISE 0623-0456,37.5,?,?
318,WISE 0625+5646,67.2,?,?
319,WISE 0627-1114,37.2,?,?
320,WISE 0647-6232,28,?,?
321,WISE 0656+4205,54.1,?,?
322,WISE 0713-2917,23.2,?,?
323,WISE 0723+3403,45.7,?,?
324,WISE 0733+7544,78.3,?,?
325,WISE 0734-7157,34.9,?,?
326,WISE 0744+5628,47.3,?,?
327,WISE 0750+2725,51.5,?,?
328,WISE 0751-7634,39.1,?,?
329,WISE 0759-4904,38.8,?,?
330,WISE 0811-8051,32,?,?
331,WISE 0812+4021,63.6,?,?
332,WISE 0819-0335,46,?,?
333,WISE 0821+1443,68.2,?,?
334,WISE 0836-1859,72.4,?,?
335,WISE 0857+5604,42.1,?,?
336,WISE 0906+4735,51.5,?,?
337,WISE 0929+0409,64.9,?,?
338,WISE 0952+1955,72.1,?,?
339,WISE 1018-2445,47.6,?,?
340,WISE 1019+6529,56.8,?,?
341,WISE 1039-1600,47.3,?,?
342,WISE 1042-3842,53.2,?,?
343,WISE 1051-2138,40.8,?,?
344,WISE 1122+2550,57.7,?,?
345,WISE 1124-0421,50.6,?,?
346,WISE 1147-2040,102,?,?
347,WISE 1150+6302,32.9,?,?
348,WISE 1217+1626A,34.2,12,?
349,WISE 1217+1626B,34.2,6,?
350,WISE 1225-1013,55.4,?,?
351,WISE 1311+0122,44.4,?,?
352,WISE 1311+3629,86.1,?,?
353,WISE 1318-1758,32.9,?,?
354,WISE 1320+6034,56.1,?,?
355,WISE 1322-2340,33.9,?,?
356,WISE 1348+6603,91,?,?
357,WISE 1405+5534,25.3,30,0.86
358,WISE 1433-0837,84.8,?,?
359,WISE 1436-1814,60,?,?
360,WISE 1457+5815,52.2,?,?
361,WISE 1506+7027,11.1,?,?
362,WISE 1517+0529,72.4,?,?
363,WISE 1519+7009,50.9,?,?
364,WISE 1523+3125,84.5,?,?
365,WISE 1541-2250,20,?,?
366,WISE 1542+2230,41.1,?,?
367,WISE 1612-3420,55.4,?,?
368,WISE 1614+1739,32.6,?,?
369,WISE 1617+1807,50.2,?,?
370,WISE 1622-0959,52.2,?,?
371,WISE 1627+3255,50.2,?,?
372,WISE 1639-6847,16.3,?,?
373,WISE 1647+5632,28,?,?
374,WISE 1653+4444,39.5,?,?
375,WISE 1711+3500,60.3,?,?
376,WISE 1717+6129,72.7,?,?
377,WISE 1721+1117,62.3,?,?
378,WISE 1728+5716,97.8,?,?
379,WISE 1738+2732,20,?,?
380,WISE 1741+2553,18.9,?,?
381,WISE 1746-0338,83.8,?,?
382,WISE 1800+0134,28.7,57,?
383,WISE 1804+3117,30,?,?
384,WISE 1809+3838,74.4,?,?
385,WISE 1812+2721,47,?,?
386,WISE 1828+2650,36,?,?
387,WISE 1830+4542,107,?,?
388,WISE 1841+7000,131.1,?,?
389,WISE 1852+3537,55.4,?,?
390,WISE 1906+4508,51.5,?,?
391,WISE 1928+2356,22.8,?,?
392,WISE 1952+7240,44.4,?,?
393,WISE 1959-3338,37.2,?,?
394,WISE 2030+0749,34.2,?,?
395,WISE 2014+0424,96.2,?,?
396,WISE 2015+6646,50.6,?,?
397,WISE 2018-7423,47.9,?,?
398,WISE 2019-1148,42.4,?,?
399,WISE 2056+1459,24.5,?,?
400,WISE 2134-7137,42.7,?,?
401,WISE 2157+2659,61.6,?,?
402,WISE 2209-2734,46,?,?
403,WISE 2213+0911,58.7,?,?
404,WISE 2220-3628,26.4,?,?
405,WISE 2226+0440,45,?,?
406,WISE 2237-0614,53.5,?,?
407,WISE 2237+7228,46,?,?
408,WISE 2239+1617,59.7,?,?
409,WISE 2255-3118,44.7,?,?
410,WISE 2301+0216,60.7,?,?
411,WISE 2313-8037,35.9,?,?
412,WISE 2319-1844,52.2,?,?
413,WISE 2325-4105,37.5,?,?
414,WISE 2327-2730,70.8,?,?
415,WISE 2335+4222,90.3,?,?
416,WISE 2340-0745,37.8,?,?
417,WISE 2342+0856,51.2,?,?
418,WISE 2343-7418,48.6,?,?
419,WISE 2344+1034,46,?,?
420,WISE 2348-1028,54.1,?,?
421,WISE 2357+1227,54.8,?,?
422,WISE 2359-7335,42.7,?,?
423,WISEA 1101+5400,111,?,?
424,2M1510,120,?,?
425,,,,
426,L 34-26,35.6,6.3+1.5−1.9,?
427,,,,
428,,,,
429,,,,
430,,,,
431,,,,
432,,,,
433,,,,
434,,,,
435,,,,
436,,,,
437,,,,
438,,,,
439,,,,
440,,,,
441,,,,
442,,,,
